Year,DonorCode,DonorName,AgencyName,CrsID,RecipientName,RegionName,FlowName,USD_Commitment,CurrencyCode,ShortDescription,ProjectTitle,BroadSector,Province,Latitude,Longitude,PurposeCode,PurposeName,SectorCode,SectorName,ExpectedStartDate,CompletionDate,LongDescription,Name_of_Donor,ProjectTitle_len,PurposeName_len,ShortDescription_len,LongDescription_len
2016,918,EU Institutions,European Commission,2016001326,Iraq,Middle East,ODA Grants,175.937189,918,HUMANITARIAN AID AND FOOD ASSISTANCE,Humanitarian aid and food assistance,Public Administration,Anbar,33.22319,43.67929,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-01-15 00:00:00,2018-12-31 00:00:00,Humanitarian Implementation Plan (HIP) Iraq Crisis,"EU Institutions, European Commission",36,39,36,50
2018,302,United States,Agency for International Development,2018021774A,Iraq,Middle East,ODA Grants,143,302,UNDP STABILIZATION PROJECT,UNDP Stabilization Project,IT,Nineveh,36.34741,43.12281,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2015-07-06 00:00:00,2020-12-31 00:00:00,"USAID is supporting two major United Nations (UN) efforts to help Iraqis return to their homes in areas freed from occupation by the Islamic State of Iraq and the Levant, also known as Daesh","United States, Agency for International Development",26,59,26,190
2013,302,United States,State Department,2013023584,Iraq,Middle East,ODA Grants,139.86206,302,INTERNATIONAL NARCOTICS & LAW ENFORCEMENT: ANTI-CRIME PROGRAMS,International Narcotics & Law Enforcement: Anti-Crime Programs,Public Administration,Baghdad,33.33344,44.4326,15130,Legal and judicial development,151,I.5.a. Government & Civil Society-general,2013-01-01 00:00:00,2013-12-31 00:00:00,Department of State s International Narcotics Control and Law Enforcement Program - International Narcotics & Law Enforcement,"United States, State Department",62,30,62,125
2020,302,United States,State Department,2020006231,Iraq,Middle East,ODA Grants,109.91,302,VOLUNTARY CONTRIBUTIONS TO UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR) 2020 GLOBAL APPEAL,Voluntary Contributions to United Nations High Commissioner for Refugees (UNHCR) 2020 Global Appeal,Public Administration,Sulaymaniyah,35.56776,45.96602,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2020-01-01 00:00:00,2020-12-31 00:00:00,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]","United States, State Department",99,39,99,242
2016,302,United States,Agency for International Development,20169015098,Iraq,Middle East,ODA Grants,104,302,UNDP STABILIZATION PROJECT - CONFLICT MITIGATION,UNDP Stabilization Project - Conflict Mitigation,IT,Nineveh,36.27386,42.63872,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2015-07-06 00:00:00,2017-01-05 00:00:00,"USAID is supporting two major United Nations (UN) efforts to help Iraqis return to their homes in areas freed from occupation by the Islamic State of Iraq and the Levant, also known as Daesh","United States, Agency for International Development",48,59,48,190
2018,302,United States,State Department,2018009134,Iraq,Middle East,ODA Grants,102.8,302,VOLUNTARY CONTRIBUTION TO THE UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR) 2018 GLOBAL APPEAL,Voluntary Contribution to the United Nations High Commissioner for Refugees (UNHCR) 2018 Global Appeal,Public Administration,Nineveh,36.84274,43.76856,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2018-01-01 00:00:00,2018-12-31 00:00:00,"United States Population Migration and Refugee Assistance, Appropriation 1143. Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]","United States, State Department",102,39,102,241
2019,302,United States,State Department,2019006071,Iraq,Middle East,ODA Grants,97.9,302,2019 GLOBAL APPEAL,2019 Global Appeal,Public Administration,Nineveh,36.84537,43.7681,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2019-01-01 00:00:00,2019-12-31 00:00:00,"United States Population Migration and Refugee Assistance, Appropriation 1143.  Protection and assistance needs of refugees, migrants and conflict vicitms worldwide. [United Nations Office of the United Nations High Commissioner for Refugees]","United States, State Department",18,39,18,242
2016,302,United States,Agency for International Development,20169015504,Iraq,Middle East,ODA Grants,86,302,WORLD FOOD PROGRAMME IRAQ - EMERGENCY OPERATION (EMOP) - ASSISTANCE AND RECOVERY,World Food Programme Iraq - Emergency Operation (EMOP) - Assistance and Recovery,Public Administration,Duhok,36.83354,42.98331,72040,Emergency food assistance,720,VIII.1. Emergency Response,2015-04-10 00:00:00,2015-12-31 00:00:00,World Food Programme Iraq - Emergency Operation (EMOP),"United States, Agency for International Development",80,25,80,54
2017,302,United States,Department of Defense,2017000358,Iraq,Middle East,ODA Grants,75,302,HUMANITARIAN ASSISTANCE - IRAQ INTERNALLY DISPLACED PERSONS,Humanitarian Assistance - Iraq Internally Displaced Persons,Public Administration,Nineveh,35.76117,43.28889,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2017-01-01 00:00:00,2017-12-31 00:00:00,"Humanitarian Assistance - Iraq Internally Displaced Persons through the Department of Defense's Overseas Humanitarian, Disaster and Civic Aid (OHDCA).","United States, Department of Defense",59,39,59,150
2016,12,United Kingdom,Department for International Development,2016000600,Iraq,Middle East,ODA Grants,71.794872,12,SUPPORT TO IRAQI HUMANITARIAN POOLED FUND AND APPEALS,Support to Iraqi Humanitarian Pooled Fund and appeals,Public Administration,Erbil,36.2646,43.99908,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2016-04-01 00:00:00,2019-03-31 00:00:00,This programme will provide humanitarian aid to vulnerable populations in Iraq by (1) Responding to the needs of extremely vulnerable people including women and girls and (2) Supporting improvements in the UN humanitarian system. The programme will deli,"United Kingdom, Department for International Development",53,41,53,253
